,category,counts,chosen
0,adult,0.0,False
1,air conditioner,0.0,False
2,aircraft,0.0,False
3,airplane,0.0,False
4,airplane fuel truck,0.0,False
5,airplanes,0.0,False
6,airport,0.0,False
7,american flag,0.0,False
8,animal,0.002556712494315256,True
9,animals,0.0026646181914204096,True
10,antenna,0.0,False
11,apple,0.0,False
12,apples,0.0,False
13,appliance,0.0,False
14,apron,0.0,False
15,arch,0.0,False
16,archway,0.0,False
17,area,0.0022578232625107145,True
18,arm,0.0,False
19,arm rest,0.0,False
20,armrest,0.0,False
21,arms,0.0,False
22,arrow,0.0,False
23,arrows,0.0,False
24,art,0.01287157405048358,True
25,artwork,0.0,False
26,asphalt,0.0,False
27,audience,0.0,False
28,awning,0.0,False
29,baby,0.005724890605559717,True
30,back,0.0036986348788720087,True
31,back door,0.0,False
32,back legs,0.0,False
33,background,0.02536141976098676,True
34,backpack,0.0,False
35,bacon,0.0,False
36,bag,0.0021199172351631986,True
37,bags,0.0,False
38,balcony,0.0,False
39,ball,0.0,False
40,balloons,0.0,False
41,balls,0.0,False
42,banana,0.0,False
43,bananas,0.0,False
44,band,0.0,False
45,bandana,0.0,False
46,bank,0.0,False
47,banner,0.0,False
48,bar,0.0,False
49,bark,0.0,False
50,barn,0.0,False
51,barrel,0.0,False
52,barrier,0.0,False
53,barriers,0.0,False
54,bars,0.0,False
55,base,0.0,False
56,baseball,0.0,False
57,baseball player,0.0,False
58,baseboard,0.0,False
59,basket,0.0,False
60,bat,0.0,False
61,bathroom,0.0,False
62,bathtub,0.0,False
63,batter,0.0,False
64,beach,0.0032980203893491133,True
65,beads,0.0,False
66,beak,0.0,False
67,beam,0.0,False
68,beams,0.0,False
69,bean,0.0,False
70,beans,0.0,False
71,bear,0.0,False
72,bears,0.0,False
73,bed,0.0021993876059908882,True
74,bedding,0.0,False
75,bedroom,0.002719499432155553,True
76,bedside lamp,0.0,False
77,bedspread,0.0,False
78,beer,0.0,False
79,bell,0.0,False
80,belly,0.0,False
81,belt,0.0,False
82,bench,0.0,False
83,benches,0.0,False
84,berries,0.0,False
85,bib,0.0,False
86,bicycle,0.0,False
87,bicycles,0.0,False
88,bike,0.0,False
89,biker,0.0,False
90,bikes,0.0,False
91,bikini,0.0,False
92,bill,0.0,False
93,billboard,0.0,False
94,bin,0.0,False
95,bird,0.0,False
96,birds,0.0,False
97,black,0.020415874604455195,True
98,blade,0.0,False
99,blades,0.0,False
100,blanket,0.0,False
101,bleachers,0.0,False
102,blender,0.0,False
103,blind,0.0,False
104,blinds,0.0,False
105,block,0.0,False
106,blocks,0.0,False
107,blouse,0.0,False
108,blue,0.015056717467844805,True
109,board,0.0,False
110,boards,0.0,False
111,boat,0.0,False
112,boats,0.0,False
113,body,0.0,False
114,bolt,0.0,False
115,bolts,0.0,False
116,book,0.002957671815220247,True
117,bookcase,0.0,False
118,books,0.0,False
119,bookshelf,0.0,False
120,boot,0.0,False
121,boots,0.0,False
122,border,0.0,False
123,bottle,0.0,False
124,bottles,0.0,False
125,bottom,0.0,False
126,bottoms,0.0,False
127,boulder,0.0,False
128,bow,0.0,False
129,bowl,0.0020438421271746095,True
130,bowls,0.0,False
131,box,0.0024938205553191105,True
132,box spring,0.0,False
133,boxes,0.0,False
134,boy,0.0029727382940687545,True
135,boy wearing mickey,0.0,False
136,boy's arm,0.0,False
137,boys,0.0,False
138,brace,0.0,False
139,bracelet,0.0,False
140,branch,0.0,False
141,branches,0.0,False
142,bread,0.0,False
143,brick,0.0,False
144,bricks,0.0,False
145,bride,0.0,False
146,bridge,0.0,False
147,bridle,0.0,False
148,broccoli,0.0,False
149,broccolli,0.0,False
150,brush,0.0,False
151,bubbles,0.0,False
152,bucket,0.0,False
153,bucket for tractor,0.0,False
154,building,0.0030710152379661475,True
155,buildings,0.0,False
156,bull,0.0,False
157,bumper,0.0,False
158,bun,0.0,False
159,bunch,0.0,False
160,bunny,0.0,False
161,bus,0.0,False
162,buses,0.0,False
163,bush,0.0,False
164,bushes,0.0,False
165,butter,0.0,False
166,button,0.0,False
167,buttons,0.0,False
168,cab,0.0,False
169,cabbage,0.0,False
170,cabinet,0.0,False
171,cabinet door,0.0,False
172,cabinets,0.0,False
173,cable,0.0,False
174,cables,0.0,False
175,cake,0.0,False
176,calf,0.0,False
177,camera,0.0,False
178,camping trip,0.0,False
179,can,0.006260493318427776,True
180,candle,0.0,False
181,candles,0.0,False
182,candy,0.0,False
183,canister,0.0,False
184,canopies,0.0,False
185,canopy,0.0,False
186,cans,0.0,False
187,cap,0.0,False
188,caps,0.0,False
189,captain cookies van,0.0,False
190,car,0.0035228769759667114,True
191,card,0.0025317254818587524,True
192,cardboard,0.0,False
193,cargo shorts,0.0,False
194,carpet,0.0,False
195,carriage,0.0,False
196,carrot,0.0,False
197,carrots,0.0,False
198,cars,0.0,False
199,cart,0.0,False
200,carton,0.0,False
201,case,0.0,False
202,castle,0.0,False
203,cat,0.0023097866992435063,True
204,cat tail,0.0,False
205,catcher,0.0,False
206,cats,0.0,False
207,cattle,0.0,False
208,cauliflower,0.0,False
209,cave,0.0,False
210,cd,0.0,False
211,ceiling,0.0,False
212,cell phone,0.0,False
213,cellphone,0.0,False
214,cement,0.0,False
215,center,0.0,False
216,chain,0.0,False
217,chains,0.0,False
218,chair,0.0,False
219,chairs,0.0,False
220,chandelier,0.0,False
221,chapel,0.0,False
222,character,0.0027928954655601647,True
223,cheese,0.0,False
224,chemtrails,0.0,False
225,chest,0.0,False
226,chicken,0.0,False
227,child,0.0,False
228,children,0.002381829932610664,True
229,chili,0.0,False
230,chin,0.0,False
231,chips,0.0,False
232,chocolate,0.0024650138721686193,True
233,church,0.0,False
234,circle,0.0,False
235,claw,0.0,False
236,claws,0.0,False
237,cleat,0.0,False
238,cleats,0.0,False
239,cliff,0.0,False
240,cliffs,0.0,False
241,clip,0.0,False
242,clock,0.0,False
243,clock face,0.0,False
244,clock tower,0.0,False
245,clocks,0.0,False
246,cloth,0.0,False
247,clothes,0.0,False
248,clothing,0.0,False
249,cloths,0.0,False
250,cloud,0.0,False
251,clouds,0.0,False
252,coaster,0.0,False
253,coat,0.0,False
254,cockpit,0.0,False
255,coffee,0.0020329666758931164,True
256,coffee table,0.0,False
257,coke,0.0,False
258,collar,0.0,False
259,color,0.00520353208132132,True
260,color hair,0.0,False
261,column,0.0,False
262,columns,0.0,False
263,comforter,0.0,False
264,computer,0.0,False
265,computer screen,0.0,False
266,concrete,0.0,False
267,cone,0.0,False
268,cones,0.0,False
269,container,0.0,False
270,containers,0.0,False
271,controller,0.0,False
272,cookie,0.0,False
273,cooler,0.0,False
274,cord,0.0,False
275,cords,0.0,False
276,corn,0.0,False
277,corner,0.0,False
278,couch,0.0,False
279,counter,0.0,False
280,counter top,0.0,False
281,countertop,0.0,False
282,couple,0.002018430706863219,True
283,couples,0.0,False
284,court,0.0,False
285,cover,0.0,False
286,covering,0.0,False
287,cow,0.0,False
288,cows,0.0,False
289,crack,0.0,False
290,cracks,0.0,False
291,crane,0.0,False
292,crate,0.0,False
293,cream,0.0,False
294,cross,0.0,False
295,crosswalk,0.0,False
296,crowd,0.0,False
297,crown,0.0,False
298,crullers,0.0,False
299,crumbs,0.0,False
300,crust,0.0,False
301,cucumber,0.0,False
302,cucumbers,0.0,False
303,cup,0.0,False
304,cupboard,0.0,False
305,cupcake,0.0,False
306,cups,0.0,False
307,curb,0.0,False
308,curtain,0.0,False
309,curtains,0.0,False
310,cushion,0.0,False
311,cushions,0.0,False
312,cutlery,0.0,False
313,cutting board,0.0,False
314,cycle,0.0,False
315,dark-haired,0.0,False
316,day,0.0061792987906896055,True
317,deck,0.0,False
318,decoration,0.0,False
319,deer,0.0,False
320,desert,0.0,False
321,design,0.014712124815167064,True
322,designs,0.0030002452281636524,True
323,desk,0.0,False
324,dessert,0.0,False
325,device,0.0,False
326,dining table,0.0,False
327,dinner,0.0,False
328,dirt,0.0,False
329,disc,0.0,False
330,dish,0.0,False
331,dishes,0.0,False
332,dishwasher,0.0,False
333,disk,0.0,False
334,disney princess,0.0,False
335,dispenser,0.0,False
336,display,0.0,False
337,divider,0.0,False
338,dock,0.0,False
339,dog,0.0031495572166112705,True
340,dogs,0.0,False
341,doll,0.0,False
342,dome,0.0,False
343,donkey,0.0,False
344,donut,0.0,False
345,donuts,0.0,False
346,door,0.0020537096098007445,True
347,door handle,0.0,False
348,door knob,0.0,False
349,doorknob,0.0,False
350,doors,0.0,False
351,doorway,0.0,False
352,dot,0.0,False
353,dough,0.0,False
354,doughnut,0.0,False
355,doughnuts,0.0,False
356,drain,0.0,False
357,drapes,0.0,False
358,drawer,0.0,False
